video_id,channel_id,channel_title,niche,title,view_count,like_count,comment_count,duration_seconds,engagement_rate,day_of_week,hour_of_day,age_days,view_velocity,duration_category,channel_median_views,performance_ratio,performance_label,title_length,word_count,has_number,has_dollar,has_rupee,has_question,has_exclamation,has_vs,has_challenge,has_hours,has_last,has_win,has_free,has_extreme,has_best,has_worst,has_every,has_first,has_only,has_never,has_days,has_review,has_how,has_why,has_what,duration_encoded
nCqPod6Azb0,9,Nick DiGiovanni,cooking,Lobster Hack,55270743,1620287,6804,57,2.9438558479302515,2,16,80,690884.2875,short,31631580.5,1.7473278959298288,Viral,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sJ_yRwGxsgs,9,Nick DiGiovanni,cooking,Apple Swan,30452472,680629,4770,59,2.2507171174806433,1,16,81,375956.44444444444,short,31631580.5,0.962723693177456,High,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fVg6d7GN8GQ,9,Nick DiGiovanni,cooking,Infinite Chocolate Hack,25410148,376575,1907,37,1.4894915212615054,6,16,83,306146.3614457831,short,31631580.5,0.8033157875244331,High,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cCLckMcz68Y,9,Nick DiGiovanni,cooking,Japanese Swimming Noodles,48774721,882463,4210,28,1.817894560586005,4,16,85,573820.2470588235,short,31631580.5,1.5419628178237885,Viral,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OzlnRGtPXc4,9,Nick DiGiovanni,cooking,Gordon Ramsay's Eggs,40681458,904139,4434,59,2.23338357243735,2,16,87,467602.9655172414,short,31631580.5,1.28610260242924,Viral,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rIqB7sroqWE,9,Nick DiGiovanni,cooking,Perfect Steak Hack,90170457,1925172,5051,57,2.1406379253462138,1,16,88,1024664.2840909091,short,31631580.5,2.8506465871978794,Viral,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L-JLBvNxVAg,9,Nick DiGiovanni,cooking,Green Almonds,12848630,284726,4915,26,2.2542559012128143,6,16,90,142762.55555555556,short,31631580.5,0.40619626957938443,High,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YuZFW10T2Uo,9,Nick DiGiovanni,cooking,Rare Japanese Fruit,27670797,470322,3386,29,1.7119420159816865,4,16,92,300769.5326086957,short,31631580.5,0.8747838888417226,High,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nuqvdHSGlbE,9,Nick DiGiovanni,cooking,Pringles Hack,20610293,456178,3480,30,2.230235154832588,1,16,95,216950.45263157896,short,31631580.5,0.6515732908129582,High,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IzGqMpBIs8o,9,Nick DiGiovanni,cooking,I Challenged EVERY YouTube Chef,32064208,444904,36123,1146,1.5001992252545269,5,16,98,327185.79591836734,long,31631580.5,1.0136770750358175,High,31,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
