video_id,channel_id,channel_title,niche,title,view_count,like_count,comment_count,duration_seconds,engagement_rate,day_of_week,hour_of_day,age_days,view_velocity,duration_category,channel_median_views,performance_ratio,performance_label,title_length,word_count,has_number,has_dollar,has_rupee,has_question,has_exclamation,has_vs,has_challenge,has_hours,has_last,has_win,has_free,has_extreme,has_best,has_worst,has_every,has_first,has_only,has_never,has_days,has_review,has_how,has_why,has_what,duration_encoded
WROMyJAJmp4,1,MrBeast,entertainment,Can I Beat An F1 Driver?,364892273,3017554,13027,11,0.8305412923885073,1,17,235,1552733.0765957446,short,204600464.5,1.7834381456157447,High,24,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tAwzBYE18Us,1,MrBeast,entertainment,How I Became MrBeef,41590485,1511886,19096,46,3.681087152506156,6,20,237,175487.27848101265,short,204600464.5,0.20327659129043668,Low,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
LyFMbY-c_Lc,1,MrBeast,entertainment,I Raced Noah Lyles,421721691,4736556,11932,32,1.1259767048596037,4,17,239,1764525.9037656903,short,204600464.5,2.0611961562775436,High,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nnrklVhj8lk,1,MrBeast,entertainment,"Subscribe for $10,000",184589462,1270202,45402,14,0.7127189091650313,4,16,36,5127485.055555556,short,204600464.5,0.9021947357309152,Viral,21,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R7MkZL5i3FQ,1,MrBeast,entertainment,Giving Trick-or-Treaters Weirder and Weirder Gifts,242635837,2197614,14203,27,0.9115788612875023,4,17,246,986324.5406504065,short,204600464.5,1.1859007143163158,High,50,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26QQE7EsnLA,1,MrBeast,entertainment,MrBeast Lab Disaster!,38437745,1419092,16925,67,3.7359553740730624,0,17,250,153750.98,short,204600464.5,0.18786733986129342,Low,21,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NfhuGUyWYfQ,1,MrBeast,entertainment,Would Your Grandma Go Skydiving?,96932542,2583064,9369,42,2.6744712833384683,4,18,288,336571.3263888889,short,204600464.5,0.47376501435068835,Low,32,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wIpWCJKfRXs,1,MrBeast,entertainment,I Cooked A Pizza With Power Tools,754443210,12041909,63066,40,1.6044912114723653,1,16,291,2592588.350515464,short,204600464.5,3.687397347037792,Viral,33,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0yPgljFcTR4,1,MrBeast,entertainment,"Subscribe to Win $50,000",94773466,4450000,171991,15,4.876882945274999,2,16,430,220403.40930232557,short,204600464.5,0.46321236968648233,Low,24,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
R_BmT1OJw98,1,MrBeast,entertainment,Every YouTube Play Button I Have,440456177,4821204,26319,15,1.100568740576432,4,16,330,1334715.687878788,short,204600464.5,2.1527623511333718,High,32,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
