video_id,channel_id,channel_title,niche,title,view_count,like_count,comment_count,duration_seconds,engagement_rate,day_of_week,hour_of_day,age_days,view_velocity,duration_category,channel_median_views,performance_ratio,performance_label,title_length,word_count,has_number,has_dollar,has_rupee,has_question,has_exclamation,has_vs,has_challenge,has_hours,has_last,has_win,has_free,has_extreme,has_best,has_worst,has_every,has_first,has_only,has_never,has_days,has_review,has_how,has_why,has_what,duration_encoded
bUQk7Dx1528,14,Graham Stephan,finance,Micheal Reeves Splurged On His Dream Car!,3479,41,38,52,2.270767461914343,3,17,30,115.96666666666667,short,142987.5,0.024330798146691146,Low,41,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0xYAaI-wthM,14,Graham Stephan,finance,Stock Market Just Hit ANOTHER Record - WTF Just Happened?!,298582,8378,759,992,3.0601308853179363,0,20,68,4390.911764705882,long,142987.5,2.088168546201591,High,58,10,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
3Z0LmfRaBSc,14,Graham Stephan,finance,How To Get Rich From The Stock Market!,64107,1042,73,55,1.739279641848784,2,17,31,2067.967741935484,short,142987.5,0.44833988985051143,High,38,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0GFMynleim8,14,Graham Stephan,finance,Real vs  Fake Rolex!,10812,171,49,49,2.0347761746207915,1,18,32,337.875,short,142987.5,0.07561500131130344,Medium,20,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ot5sH9rkgjQ,14,Graham Stephan,finance,Trump Just Secretly Triggered The Next Great Wealth Transfer,370907,11412,949,954,3.3326413359683156,0,20,33,11239.60606060606,long,142987.5,2.5939819914328175,Viral,60,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
jOI3e7dOABI,14,Graham Stephan,finance,"Grant Cardone’s $1,000,000 Mistake...",29449,509,20,40,1.7963258514720364,6,17,34,866.1470588235294,short,142987.5,0.20595506600227292,Medium,37,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yRpBgqY27xY,14,Graham Stephan,finance,Average Net Worth By Age!,504101,11068,399,32,2.274742561510491,0,16,68,7413.25,short,142987.5,3.525489990383775,High,25,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GDKpCfpmeXM,14,Graham Stephan,finance,Exposing How Much Money Michael Reeves Spends,283789,7300,167,45,2.631180207830466,5,17,35,8108.257142857143,short,142987.5,1.98471195034531,Viral,45,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JN0qj_-HJm0,14,Graham Stephan,finance,How I Almost Lost MILLIONS,510893,9525,127,44,1.889240995668369,4,17,36,14191.472222222223,short,142987.5,3.5729906460354925,Viral,26,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
esKoTSuhcbo,14,Graham Stephan,finance,Hospital Bill Savings Hack 💵,101979,2189,84,59,2.2288902617205504,3,18,37,2756.189189189189,short,142987.5,0.7132022029897719,High,28,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6iRDK2CRzxA,14,Graham Stephan,finance,Ludwig's WORST Money Mistake...,54376,608,4,37,1.1254965425923202,2,16,38,1430.9473684210527,short,142987.5,0.38028498994667365,Medium,31,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
f05BBG66ajk,14,Graham Stephan,finance,Why Zach King LOSES Money On Content,80582,888,15,49,1.1205976520811098,1,17,39,2066.2051282051284,short,142987.5,0.5635597517265495,High,36,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
rRumSzwsaRw,14,Graham Stephan,finance,How The US Is Quietly Erasing The $39 Trillion National Debt,640135,19443,1956,1082,3.342888609433948,0,20,40,16003.375,long,142987.5,4.476859865372847,Viral,60,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
EW-N4rtnyAE,14,Graham Stephan,finance,Exposing Zach King's Investment Portfolio!,261563,2640,48,28,1.0276682864166569,0,17,40,6539.075,short,142987.5,1.8292717894920885,High,42,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
