video_id,channel_id,channel_title,niche,title,view_count,like_count,comment_count,duration_seconds,engagement_rate,day_of_week,hour_of_day,duration_category,channel_median_views,performance_ratio,performance_label,title_length,word_count,has_number,has_dollar,has_rupee,has_question,has_exclamation,has_vs,has_challenge,has_hours,has_last,has_win,has_free,has_extreme,has_best,has_worst,has_every,has_first,has_only,has_never,has_days,has_review,has_how,has_why,has_what,duration_encoded
1h10SDDJ79M,19,Jeff Nippard,fitness,Training With Grief,1929619,106701,4740,55,5.775285172876096,6,14,short,5929106.0,0.32544855834926883,Low,19,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EpvoiNFqka0,19,Jeff Nippard,fitness,How I Cured My Body Dysmorphia,5606977,221733,2852,56,4.005456059477326,3,15,short,5929106.0,0.9456698868261083,Medium,30,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MT9ZeE5JJsI,19,Jeff Nippard,fitness,How I Blew Up My Shoulders,2902574,101325,3132,846,3.5987712974759645,0,15,long,5929106.0,0.48954665340778186,Low,26,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2
DzjWEn2BS_k,19,Jeff Nippard,fitness,I Cut The Number Of Sets I Do In Half,3149836,120249,8304,1211,4.081260103700638,0,14,long,5929106.0,0.5312497364695453,Medium,37,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
eLCBC6fjtQU,19,Jeff Nippard,fitness,The Best Ab Exercise No One Knows,9195327,384874,2880,49,4.216859280806435,4,16,short,5929106.0,1.550879171328696,High,33,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9IBteJ8DGew,19,Jeff Nippard,fitness,I Ranked the Strangest Gym Exercises (One Is S-Tier!),5799230,163239,1041,79,2.8327898703793433,6,15,short,5929106.0,0.9780951799478708,Medium,53,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
xGMqmmn5Z7Q,19,Jeff Nippard,fitness,I Found The Best Incline For The Upper Chest,5318270,156199,1629,57,2.967656775605601,6,15,short,5929106.0,0.8969767111601648,Medium,44,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cc97g7_CkQs,19,Jeff Nippard,fitness,How Fast Should You Lose Weight? (To Avoid Muscle Loss),1263773,49893,664,58,4.000481099058137,6,16,short,5929106.0,0.21314731090994157,Low,55,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
WX8JjtGuM2A,19,Jeff Nippard,fitness,"If You Lost Muscle, Do This First",6707779,214069,1292,48,3.210615615094057,0,15,short,5929106.0,1.131330591829527,High,33,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
LoalBx5vnZk,19,Jeff Nippard,fitness,I Gained Fat Over The Holidays,5521484,177624,1259,44,3.239763078186951,0,15,short,5929106.0,0.9312506809626949,Medium,30,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
