video_id,channel_id,channel_title,niche,title,view_count,like_count,comment_count,duration_seconds,engagement_rate,day_of_week,hour_of_day,age_days,view_velocity,duration_category,channel_median_views,performance_ratio,performance_label,title_length,word_count,has_number,has_dollar,has_rupee,has_question,has_exclamation,has_vs,has_challenge,has_hours,has_last,has_win,has_free,has_extreme,has_best,has_worst,has_every,has_first,has_only,has_never,has_days,has_review,has_how,has_why,has_what,duration_encoded
BKiwFqV67Bc,27,Ludwig,streaming,The Beat Off 2026,558083,23988,1132,3332,4.50112259287597,2,6,32,17440.09375,very_long,887981.5,0.6284849402831028,High,17,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
_dOuJnccmGo,27,Ludwig,streaming,The greatest gift I’ve ever received…,657360,21981,95,36,3.358281611293659,4,7,37,17766.486486486487,short,887981.5,0.7402856928888721,High,37,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PiXh-XVevuI,27,Ludwig,streaming,I guess that’s my fault…,1474136,39476,289,34,2.6975123055131953,2,8,46,32046.434782608696,short,887981.5,1.6600976484307386,High,24,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZMB9BiW9vfI,27,Ludwig,streaming,We had motion in China...,1537595,38229,199,24,2.4992276899963906,1,7,68,22611.691176470587,short,887981.5,1.7315619751087157,High,25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vrsN5OCG6bg,27,Ludwig,streaming,Streaming is different now...,1337634,27545,102,22,2.0668583483972447,0,20,68,19671.08823529412,short,887981.5,1.5063759774274577,High,29,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YD2fN8fzf3E,27,Ludwig,streaming,Almost failed the skill check...,7303576,178917,494,25,2.4564815920310816,6,9,70,104336.8,short,887981.5,8.224919100229002,Viral,32,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ciARzLrxGH8,27,Ludwig,streaming,I really thought I was speaking fluent…,1244724,32206,235,24,2.6062805891105176,1,1,89,13985.662921348314,short,887981.5,1.4017454192457839,Medium,39,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0jA3LFUusIY,27,Ludwig,streaming,Michael discovers an infinite money glitch,4193579,119666,1481,28,2.8888689112569477,1,4,96,43683.114583333336,short,887981.5,4.722597261316818,Viral,42,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bIH0v-jbE0A,27,Ludwig,streaming,Michael wastes his ult,2726314,89375,352,19,3.29114694785707,0,0,97,28106.329896907217,short,887981.5,3.070237386702313,High,22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9oS6Lt0Hzp0,27,Ludwig,streaming,Bet you didn't think about that possibility huh.,582001,15036,126,26,2.6051501629722287,2,8,32,18187.53125,short,887981.5,0.6554201861187423,High,48,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dfgd1hXzoCk,27,Ludwig,streaming,And that's what we call impact,659642,16881,98,28,2.5739719423566116,4,22,29,22746.275862068964,short,887981.5,0.7428555662477202,High,30,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pPZ2uW0pTPg,27,Ludwig,streaming,We've all got that one friend...,757687,22891,144,25,3.040173580911379,4,5,30,25256.233333333334,short,887981.5,0.8532689025615962,High,32,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KsYxaU6p8EA,27,Ludwig,streaming,🤏GAMES WITH friends :)🤏COFFEEZILLA REACT🤏NEW GAME DROPPED🤏!ultrapool,142631,1662,46,3600,1.1974956355911408,4,1,30,4754.366666666667,very_long,887981.5,0.16062384182553352,Medium,68,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
9tc1mvm6K1I,27,Ludwig,streaming,"For some reason I just don't believe him...,",1714714,56498,169,33,3.3047493634506977,3,5,31,55313.354838709674,short,887981.5,1.9310244639105658,Viral,44,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4uZovliZQTo,27,Ludwig,streaming,🏳️‍🌈 GAMING WITH 🤢️ @fuslie  🤢️ ❤️ @Squeex  ❤️ AND 🤮 @Valkyrae  🤮 🏳️‍🌈  !ultrapool !roadtoempress,167424,2061,63,3600,1.2686353211009174,3,5,31,5400.774193548387,very_long,887981.5,0.18854446855030202,Medium,97,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
oja_wUOFAz8,27,Ludwig,streaming,🔑1V1 LEAGUE TOURNAMENT FT. tyler1🔑KINGDOM HEARTS 4🔑WOW🔑 !ultrapool !roadtoempress,134750,1190,37,3600,0.9105751391465676,2,1,32,4210.9375,very_long,887981.5,0.15174865692584813,Medium,81,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
JXaqzKT9YF4,27,Ludwig,streaming,🏃 WIKI RACE DAY 🏃 !ultrapool,125966,1388,27,3600,1.1233189908387977,1,4,33,3817.151515151515,very_long,887981.5,0.1418565589485817,Low,28,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3
9wxRxZvGSGg,27,Ludwig,streaming,okay hurtful...,1208866,27261,165,17,2.268737808822483,1,3,33,36632.30303030303,short,887981.5,1.3613639473344883,High,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DdQxMVp24uA,27,Ludwig,streaming,you'd think I'd learn my lesson by now,1972368,46698,201,26,2.3778017084033003,0,6,34,58010.82352941176,short,887981.5,2.2211814097478384,Viral,38,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YvGVFI4GM8w,27,Ludwig,streaming,💎NEW GAME ANNOUNCEMENT💎GOD GAMER GAUNTLET RUN💎 !ultrapool,104549,1115,34,3600,1.0990062076155678,0,0,34,3074.970588235294,very_long,887981.5,0.11773781323146935,Low,57,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
M8FBS73-jCs,27,Ludwig,streaming,Maybe not the best snack choice...,1119166,23383,213,22,2.108355686287825,6,7,35,31976.17142857143,short,887981.5,1.260348329328933,High,34,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
q_Xz7XJQz9k,27,Ludwig,streaming,What are friends for ...,465776,8331,69,23,1.803441997870221,5,8,36,12938.222222222223,short,887981.5,0.5245334503027371,Medium,24,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
