niche,subset_pct,num_examples,test_accuracy
gaming,0.2,223,0.3071
gaming,0.4,446,0.3964
gaming,0.6,670,0.325
gaming,0.8,893,0.3536
gaming,1.0,1117,0.3714
entertainment,0.2,128,0.3875
entertainment,0.4,256,0.425
entertainment,0.6,384,0.3187
entertainment,0.8,512,0.4875
entertainment,1.0,640,0.4437
cooking,0.2,224,0.3464
cooking,0.4,448,0.2964
cooking,0.6,672,0.35
cooking,0.8,896,0.3321
cooking,1.0,1120,0.3429
finance,0.2,96,0.2167
finance,0.4,192,0.2417
finance,0.6,288,0.2083
finance,0.8,384,0.1917
finance,1.0,480,0.3167
fitness,0.2,64,0.2125
fitness,0.4,128,0.3
fitness,0.6,192,0.2875
fitness,0.8,256,0.3
fitness,1.0,320,0.325
education,0.2,64,0.225
education,0.4,128,0.45
education,0.6,192,0.4625
education,0.8,256,0.4125
education,1.0,320,0.425
tech,0.2,96,0.4417
tech,0.4,192,0.5167
tech,0.6,288,0.5
tech,0.8,384,0.5083
tech,1.0,480,0.4167
streaming,0.2,111,0.4429
streaming,0.4,223,0.3643
streaming,0.6,335,0.3714
streaming,0.8,447,0.3929
streaming,1.0,559,0.3929
